开始 10000 代进化 (K=2)...
Generation 5050 | Avg Best Fitness (K=2): -169984600.00 | Avg Violations: 57.00
Generation 5100 | Avg Best Fitness (K=2): -169869600.00 | Avg Violations: 57.00
Generation 5150 | Avg Best Fitness (K=2): -169858400.00 | Avg Violations: 57.00
Generation 5200 | Avg Best Fitness (K=2): -169809600.00 | Avg Violations: 57.00
Generation 5250 | Avg Best Fitness (K=2): -169748400.00 | Avg Violations: 57.00
Generation 5300 | Avg Best Fitness (K=2): -169448000.00 | Avg Violations: 56.50
Generation 5350 | Avg Best Fitness (K=2): -169388400.00 | Avg Violations: 56.50
Generation 5400 | Avg Best Fitness (K=2): -169369200.00 | Avg Violations: 56.50
Generation 5450 | Avg Best Fitness (K=2): -169328000.00 | Avg Violations: 56.50
Generation 5500 | Avg Best Fitness (K=2): -169268000.00 | Avg Violations: 56.50
Generation 5550 | Avg Best Fitness (K=2): -169197200.00 | Avg Violations: 56.50
Generation 5600 | Avg Best Fitness (K=2): -168867600.00 | Avg Violations: 56.00
Generation 5650 | Avg Best Fitness (K=2): -168807600.00 | Avg Violations: 56.00
Generation 5700 | Avg Best Fitness (K=2): -168416000.00 | Avg Violations: 55.50
Generation 5750 | Avg Best Fitness (K=2): -168336000.00 | Avg Violations: 55.50
Generation 5800 | Avg Best Fitness (K=2): -168226400.00 | Avg Violations: 55.50
Generation 5850 | Avg Best Fitness (K=2): -168145200.00 | Avg Violations: 55.50
Generation 5900 | Avg Best Fitness (K=2): -168106000.00 | Avg Violations: 55.50
Generation 5950 | Avg Best Fitness (K=2): -168007600.00 | Avg Violations: 55.50
Generation 6000 | Avg Best Fitness (K=2): -167967600.00 | Avg Violations: 55.50
Generation 6050 | Avg Best Fitness (K=2): -167838400.00 | Avg Violations: 55.50
Generation 6100 | Avg Best Fitness (K=2): -167828400.00 | Avg Violations: 55.50
Generation 6150 | Avg Best Fitness (K=2): -167616800.00 | Avg Violations: 55.00
Generation 6200 | Avg Best Fitness (K=2): -167556400.00 | Avg Violations: 55.00
Generation 6250 | Avg Best Fitness (K=2): -167526800.00 | Avg Violations: 55.00
Generation 6300 | Avg Best Fitness (K=2): -167296000.00 | Avg Violations: 54.50
Generation 6350 | Avg Best Fitness (K=2): -167085600.00 | Avg Violations: 54.00
Generation 6400 | Avg Best Fitness (K=2): -166785600.00 | Avg Violations: 53.50
Generation 6450 | Avg Best Fitness (K=2): -166666000.00 | Avg Violations: 53.50
Generation 6500 | Avg Best Fitness (K=2): -166415200.00 | Avg Violations: 53.00
